Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Honda,Satya E,Brio,2014,45.000-50.000 km,Bensin,Putih,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,120000000
Honda,RS 1.2,Brio,2018,5.000-10.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,150000000
Toyota,Veloz,Avanza,2014,40.000-45.000 km,Bensin,Putih,Automatic,?,?,?,148000000
Honda,S,Jazz,2011,35.000-40.000 km,Bensin,Putih,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,135500000
Toyota,G,Etios,2015,25.000-30.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,108000000
Toyota,E,Avanza,2014,100.000-105.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,116000000
Toyota,TRD Sportivo,Agya,2015,65.000-70.000 km,Bensin,Putih,Automatic,4X2,Compact & City Car,<1.000 cc,98500000
Daihatsu,Li Deluxe,Xenia,2009,100.000-105.000 km,Bensin,Abu-abu,Manual,Rear Wheel Drive (RWD),MPV,<1.000 cc,82000000
Honda,i-DSI,City,2004,215.000-220.000 km,Bensin,Marun,Automatic Triptonic,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,68000000
Toyota,Veloz,Avanza,2019,5.000-10.000 km,Bensin,Hitam,Automatic,?,?,>1.000 - 1.500 cc,225000000
Suzuki,Lain-lain,Forsa,1986,5.000-10.000 km,Bensin,Biru,Manual,?,Sedan,<1.000 cc,20000000
Toyota,TRD,Fortuner,2017,45.000-50.000 km,Diesel,Hitam,Automatic Triptonic,4X2,SUV,>2.000 - 3.000 cc,428000000
Daihatsu,Lain-lain,Gran max,2016,55.000-60.000 km,Bensin,Putih,Manual,?,?,?,89900000
Toyota,TRD Sportivo,Agya,2015,120.000-125.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Convertible,<1.000 cc,94000000
Toyota,?,Calya,2019,0-5.000 km,Bensin,Coklat,Automatic,?,?,?,130000000
Mitsubishi,2.5L Dakar,Pajero Sport,2019,0-5.000 km,Diesel,Hitam,Automatic Triptonic,4X2,SUV,>2.000 - 3.000 cc,485000000
Jeep,Lain-lain,Rubicon,2007,70.000-75.000 km,Bensin,Silver,Automatic,4X4,Jeep,>3.000 cc,575000000
Toyota,Q,Sienta,2016,50.000-55.000 km,Bensin,Oranye,Automatic,?,?,?,218000000
Toyota,G,Innova,2010,110.000-115.000 km,Bensin,Silver,Automatic Triptonic,Rear Wheel Drive (RWD),MPV,>1.500 - 2.000 cc,135000000
Daihatsu,X,Ayla,2017,20.000-25.000 km,Bensin,Merah,Automatic,All Wheel Drive (AWD),Hatchback,<1.000 cc,105000000
Toyota,G 1.8,Corolla Altis,2002,210.000-215.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,71400000
Daihatsu,R 1.3 Sporty,Xenia,2016,50.000-55.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,144000000
Daihatsu,TX Adventure,Terios,2008,95.000-100.000 km,Bensin,Silver,Automatic,4X2,MPV,>1.000 - 1.500 cc,103000000
KIA,Lain-lain,Sportage,2012,100.000-105.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,134000000
Mitsubishi,1.5,Colt,<1986,45.000-50.000 km,Bensin,Biru,Manual,Rear Wheel Drive (RWD),Pick-up,>1.000 - 1.500 cc,20000000
Toyota,G,Avanza,2010,25.000-30.000 km,Bensin,Abu-abu,Manual,4X2,Minibus,>1.000 - 1.500 cc,99000000
Toyota,V,Sienta,2016,70.000-75.000 km,Bensin,Oranye,Manual,?,?,?,186000000
Toyota,G,Agya,2015,55.000-60.000 km,Bensin,Putih,Automatic,4X2,Compact & City Car,<1.000 cc,88000000
Daihatsu,X 1.3 Plus,Xenia,2017,10.000-15.000 km,Bensin,Silver,Manual,All Wheel Drive (AWD),MPV,>1.000 - 1.500 cc,145000000
Daihatsu,Lain-lain,Gran max Pick-up,2013,55.000-60.000 km,Bensin,Biru,Manual,4X2,Pick-up,>1.000 - 1.500 cc,65000000
Toyota,Lain-lain,Land Cruiser,<1986,>300.000 km,Diesel,Hijau,Manual,4X4,Jeep,>2.000 - 3.000 cc,175000000
Honda,S,Mobilio,2016,60.000-65.000 km,Bensin,Silver,Manual,4X2,MPV,>1.000 - 1.500 cc,127500000
Toyota,S,Rush,2014,105.000-110.000 km,Bensin,Putih,Automatic,?,?,?,158000000
Honda,2.0,Stream,2004,155.000-160.000 km,Bensin,Silver,Automatic Triptonic,4X2,?,>1.500 - 2.000 cc,80000000
Honda,Lain-lain,Mobilio,2019,0-5.000 km,Bensin,Putih,Manual,?,?,?,162000000
Toyota,VRZ,Fortuner,2017,55.000-60.000 km,Bensin,Hitam,Automatic,?,?,?,445000000
Toyota,G,Innova,2011,65.000-70.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,150000000
Toyota,S,Rush,2013,45.000-50.000 km,Bensin,Putih,Manual,4X2,MPV,>1.000 - 1.500 cc,145000000
Isuzu,Lain-lain,Colt 77 PS,1997,60.000-65.000 km,Diesel,Putih,Manual,Rear Wheel Drive (RWD),Pick-up,>2.000 - 3.000 cc,55000000
Toyota,G TRD,Fortuner,2012,115.000-120.000 km,Diesel,Hitam,Manual,4X2,SUV,>2.000 - 3.000 cc,230000000
Datsun,Panca T Style,Go+,2016,20.000-25.000 km,Bensin,Emas,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,85000000
Toyota,Lain-lain,Corolla,1997,130.000-135.000 km,Bensin,Putih,Manual,4X2,Sedan,>1.000 - 1.500 cc,30000000
BMW,330i,Serie 3,2004,75.000-80.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),Sedan,>2.000 - 3.000 cc,245000000
Toyota,G,Innova,2004,155.000-160.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Minibus,>1.500 - 2.000 cc,92000000
Suzuki,Estilo,Karimun,2012,55.000-60.000 km,Bensin,Coklat,Manual,4X2,Hatchback,<1.000 cc,80000000
BMW,320i Sport,Serie 3,2014,45.000-50.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,370000000
Suzuki,4 AT,Jimny,2019,0-5.000 km,Diesel,Hijau,Automatic,All Wheel Drive (AWD),Jeep,>1.000 - 1.500 cc,465000000
Toyota,G Luxury,Innova,2005,95.000-100.000 km,Bensin,Hijau,Manual,4X2,MPV,>1.500 - 2.000 cc,98000000
Toyota,G,Avanza,2008,105.000-110.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),MPV,>1.000 - 1.500 cc,93000000
Volvo,Lain-lain,960,2000,120.000-125.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),Sedan,>2.000 - 3.000 cc,34000000
Toyota,G,Yaris,2016,25.000-30.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,143000000
Honda,Lain-lain,Lain-lain,1986,120.000-125.000 km,Bensin,Merah,Manual,4X2,Sedan,>1.500 - 2.000 cc,125000000
Toyota,"2,5 V",Camry,2014,45.000-50.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,248000000
Daihatsu,1.2 R,Sigra,2019,0-5.000 km,Bensin,Lainnya,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,108000000
Toyota,G,Innova,2012,95.000-100.000 km,Bensin,Abu-abu,Automatic,4X2,MPV,>2.000 - 3.000 cc,165000000
Mercedes-Benz,CLA200,CLA-Class,2015,25.000-30.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,535000000
Toyota,E,Avanza,2014,95.000-100.000 km,Bensin,Silver,Manual,?,MPV,>1.000 - 1.500 cc,106000000
Mitsubishi,Exceed,Pajero Sport,2012,90.000-95.000 km,Diesel,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),Jeep,>2.000 - 3.000 cc,229000000
Toyota,LGX,Kijang,2003,35.000-40.000 km,Bensin,Abu-abu,Manual,?,Classic Car,>1.500 - 2.000 cc,80000000
Suzuki,GX,Ertiga,2015,115.000-120.000 km,Bensin,Abu-abu,Manual,?,?,?,140000000
Mitsubishi,Exceed,Pajero Sport,2009,70.000-75.000 km,Diesel,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),Jeep,>2.000 - 3.000 cc,216000000
Mitsubishi,Lain-lain,Outlander,2013,80.000-85.000 km,Bensin,Merah,Automatic Triptonic,Front Wheel Drive (FWD),Jeep,>1.500 - 2.000 cc,169000000
Toyota,G,Innova,2006,>300.000 km,Bensin,Biru,Manual,?,Bus,?,98000000
Suzuki,GL,Ertiga,2012,225.000-230.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,110000000
Honda,E,Brio,2013,40.000-45.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,97000000
Toyota,G,Innova,2011,80.000-85.000 km,Bensin,Silver,Manual,?,?,?,129500000
Mitsubishi,Strada,L200,2007,65.000-70.000 km,Diesel,Merah,Manual,4X4,Double Cabin,>1.500 - 2.000 cc,110000000
Suzuki,GX,Wagon R,2015,30.000-35.000 km,Bensin,Merah,Automatic,4X2,Wagon,>1.000 - 1.500 cc,85000000
Chevrolet,Lain-lain,Captiva,2016,15.000-20.000 km,Diesel,Silver,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,290000000
Datsun,Panca T Active,Go,2018,25.000-30.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,115000000
Ford,Sport,Fiesta,2013,85.000-90.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,122000000
Honda,Satya E,Brio,2018,35.000-40.000 km,Bensin,Merah,Manual,?,Compact & City Car,>1.000 - 1.500 cc,125000000
Daihatsu,?,Terios,2019,0-5.000 km,Bensin,Abu-abu,Manual,?,?,?,190300000
Toyota,TRD Sportivo,Rush,2015,25.000-30.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,163000000
Honda,?,Mobilio,2019,0-5.000 km,Bensin,Putih,Manual,?,?,?,204000000
Daihatsu,Li Deluxe,Xenia,2011,25.000-30.000 km,Bensin,Silver,Manual,4X2,Minibus,<1.000 cc,71000000
Chery,Lain-lain,QQ,2006,70.000-75.000 km,Bensin,Merah,Manual,All Wheel Drive (AWD),Minibus,>1.000 - 1.500 cc,40000000
Toyota,Lain-lain,Corolla,1996,85.000-90.000 km,Bensin,Lainnya,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,48000000
Honda,Turbo 1.5,Civic,2018,10.000-15.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,395000000
Toyota,G,Altis,2002,200.000-205.000 km,Bensin,Silver,Manual,?,Sedan,>1.500 - 2.000 cc,80000000
Honda,i-DSI,Jazz,2006,100.000-105.000 km,Bensin,Abu-abu,Automatic Triptonic,4X2,Compact & City Car,>1.000 - 1.500 cc,84000000
Toyota,E,Avanza,2017,20.000-25.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,144000000
Honda,RS CVT,Jazz,2016,20.000-25.000 km,Bensin,Silver,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,192000000
Mitsubishi,Dakar 2.4,Pajero Sport,2017,40.000-45.000 km,Diesel,Hitam,Automatic,?,?,>2.000 - 3.000 cc,445000000
Toyota,V,Innova,2012,95.000-100.000 km,Bensin,Putih,Automatic,?,?,?,155000000
Honda,Lain-lain,Ferio,1996,135.000-140.000 km,Bensin,Hijau,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,43000000
Toyota,G,Calya,2016,45.000-50.000 km,Bensin,Putih,Automatic,?,?,?,112000000
Toyota,TRD Sportivo,Agya,2015,70.000-75.000 km,Bensin,Putih,Manual,?,?,?,90000000
Honda,S,Freed,2013,110.000-115.000 km,Bensin,Putih,Automatic,?,?,?,143000000
Honda,Satya E,Brio,2015,25.000-30.000 km,Bensin,Hitam,Automatic,4X2,Jeep,>1.000 - 1.500 cc,130000000
Honda,Lain-lain,Mobilio,2018,0-5.000 km,Bensin,Putih,Manual,4X4,MPV,>2.000 - 3.000 cc,155000000
Mazda,Lain-lain,2,2013,60.000-65.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.500 - 2.000 cc,126500000
Suzuki,GL,Ertiga,2016,100.000-105.000 km,Bensin,Hitam,Manual,?,MPV,?,122000000
Honda,S,Jazz,2013,90.000-95.000 km,Bensin,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,135000000
Honda,2.4 i-VTEC,CR-V,2011,120.000-125.000 km,Bensin,Putih,Automatic,4X2,SUV,>2.000 - 3.000 cc,192500000
Mitsubishi,ULTIMATE A/T,Xpander,2017,10.000-15.000 km,Bensin,Silver,Automatic,Rear Wheel Drive (RWD),MPV,>1.500 - 2.000 cc,225000000
Toyota,TRD Sportivo,Agya,2018,15.000-20.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,120000000
Mitsubishi,3.9,Colt,1991,>300.000 km,Diesel,Putih,Manual,4X4,Truk,>3.000 cc,77000000
Nissan,Lain-lain,X-Trail,2009,155.000-160.000 km,Bensin,Silver,Automatic,4X2,SUV,>1.500 - 2.000 cc,114999999
Toyota,Lain-lain,Etios Valco,2013,55.000-60.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,99000000
Toyota,Veloz,Avanza,2015,85.000-90.000 km,Bensin,Silver,Automatic,?,?,?,136000000
Toyota,G,Avanza,2008,125.000-130.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,88000000
Honda,2.4 i-VTEC,CR-V,2013,40.000-45.000 km,Bensin,Putih,Automatic,4X2,SUV,>2.000 - 3.000 cc,230000000
Daihatsu,Lain-lain,Lain-lain,2013,100.000-105.000 km,Bensin,Lainnya,Manual,4X2,Classic Car,<1.000 cc,85000000
Nissan,Lain-lain,Grand livina,2012,100.000-105.000 km,Bensin,Silver,Manual,?,?,?,90000000
Daihatsu,X,Ayla,2014,65.000-70.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,85500000
Toyota,G,Etios,2013,0-5.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,97500000
Toyota,G,Avanza,2014,85.000-90.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,125000000
Suzuki,Lain-lain,Escudo,1999,225.000-230.000 km,Bensin,Silver,Manual,4X2,Jeep,>1.000 - 1.500 cc,78500000
Suzuki,GX,Ertiga,2015,45.000-50.000 km,Bensin,Abu-abu,Manual,?,?,?,127000000
Honda,Limited Edition,Jazz,2011,25.000-30.000 km,Bensin,Merah,Automatic,Rear Wheel Drive (RWD),Compact & City Car,>1.000 - 1.500 cc,139000000
BMW,?,X1,2015,55.000-60.000 km,Bensin,Putih,Automatic,?,?,?,357000000
Hyundai,Royale Next Generion,H-1,2018,15.000-20.000 km,Diesel,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,350000000
Toyota,G,Agya,2017,20.000-25.000 km,Bensin,Putih,Manual,4X2,?,?,107000000
Daihatsu,Xi Sporty,Xenia,2011,80.000-85.000 km,Bensin,Hitam,Automatic,4X2,MPV,>1.000 - 1.500 cc,85000000
Daihatsu,Lain-lain,Espass,2002,135.000-140.000 km,Bensin,Silver,Manual,?,Minibus,>1.000 - 1.500 cc,24000000
Toyota,G,Avanza,2011,25.000-30.000 km,Bensin,Abu-abu,Manual,4X2,Minibus,>1.000 - 1.500 cc,102000000
Honda,i-DSI,City,2006,85.000-90.000 km,Bensin,Abu-abu,Automatic Triptonic,4X2,Sedan,>1.000 - 1.500 cc,75000000
Toyota,Q,Sienta,2017,45.000-50.000 km,Bensin,Oranye,Automatic,?,?,?,189000000
Toyota,G,Avanza,2009,70.000-75.000 km,Bensin,Merah,Manual,4X2,MPV,>1.000 - 1.500 cc,90000000
Nissan,Lain-lain,X-Trail,2009,155.000-160.000 km,Bensin,Silver,Automatic,4X2,SUV,>1.500 - 2.000 cc,114900000
Honda,E Prestige,BR-V,2019,0-5.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,240000000
Hyundai,SG,Avega,2008,110.000-115.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,48000000
Toyota,G,Etios,2013,55.000-60.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,99000000
Honda,i-DSI,City,2003,140.000-145.000 km,Bensin,Biru,Automatic Triptonic,4X2,Sedan,>1.000 - 1.500 cc,68000000
Daihatsu,Lain-lain,Classy,1995,15.000-20.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,21000000
Daihatsu,Lain-lain,Gran max Pick-up,2017,20.000-25.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,92000000
Mercedes-Benz,C240,C-Class,2004,55.000-60.000 km,Bensin,Abu-abu,Automatic,4X2,Sedan,>2.000 - 3.000 cc,105000000
Mazda,2.0,Biante,2012,90.000-95.000 km,Bensin,Silver,Automatic,?,?,?,147000000
Nissan,Lain-lain,Grand livina,2015,60.000-65.000 km,Bensin,Abu-abu,Manual,4X2,MPV,>1.000 - 1.500 cc,132000000
Suzuki,1.5,Baleno,2002,220.000-225.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,53000000
Daihatsu,Lain-lain,Gran max,2014,105.000-110.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Van,>1.000 - 1.500 cc,73000000
Toyota,"2,5 V",Camry,2016,35.000-40.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,375000000
Nissan,Lain-lain,Grand livina,2013,70.000-75.000 km,Bensin,Abu-abu,Manual,4X2,MPV,>1.000 - 1.500 cc,99000000
Suzuki,?,Carry Pick-up,2019,0-5.000 km,Bensin,Lainnya,Manual,?,?,?,138600000
Honda,2.4,CR-V,2014,55.000-60.000 km,Bensin,Putih,Automatic,?,?,?,217000000
Toyota,G,Avanza,2006,100.000-105.000 km,Bensin,Kuning,Manual,4X2,MPV,>1.000 - 1.500 cc,81500000
Toyota,G,Calya,2018,25.000-30.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,118000000
Toyota,G,Innova,2018,30.000-35.000 km,Diesel,Abu-abu,Automatic,Rear Wheel Drive (RWD),MPV,>2.000 - 3.000 cc,305000000
Nissan,Lain-lain,Grand livina,2009,100.000-105.000 km,Bensin,Abu-abu,Automatic,4X2,MPV,>1.000 - 1.500 cc,88000000
Toyota,V,Innova,2015,220.000-225.000 km,Bensin,Hijau,Automatic,?,Minibus,>1.500 - 2.000 cc,125000000
Toyota,G,Camry,2011,105.000-110.000 km,Bensin,Hitam,Automatic,?,?,?,131000000
Nissan,Lain-lain,X-Trail,2009,155.000-160.000 km,Bensin,Silver,Automatic,4X2,SUV,>1.500 - 2.000 cc,115000100
Honda,Lain-lain,Freed,2012,80.000-85.000 km,Bensin,Putih,Automatic,?,?,?,160000000
Mitsubishi,HD-X,Strada Triton,2014,125.000-130.000 km,Diesel,Putih,Manual,4X4,Double Cabin,>2.000 - 3.000 cc,13000000
Toyota,G Luxury,Innova,2015,55.000-60.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,189000000
Mitsubishi,2.5L Dakar,Pajero Sport,2011,100.000-105.000 km,Diesel,Silver,Automatic Triptonic,4X4,SUV,>2.000 - 3.000 cc,260000000
Honda,2.0,CR-V,2013,85.000-90.000 km,Bensin,Hitam,Automatic,?,?,?,191000000
Nissan,Lain-lain,Grand livina,2011,60.000-65.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,102000000
Suzuki,GL,Ertiga,2016,45.000-50.000 km,Bensin,Ungu,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,151000000
Honda,E,Mobilio,2018,15.000-20.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,193000000
Mitsubishi,ULTIMATE A/T,Xpander,2019,0-5.000 km,Bensin,Merah,Manual,?,MPV,?,221800000
Honda,i-DSI,City,2008,70.000-75.000 km,Bensin,Abu-abu,Automatic,?,?,?,82000000
Honda,2.4 Prestige,CR-V,2013,75.000-80.000 km,Bensin,Putih,Automatic,4X2,SUV,>2.000 - 3.000 cc,230000000
Mercedes-Benz,?,CLA-Class,2019,0-5.000 km,Bensin,Lainnya,Automatic,?,?,?,935000000
Mitsubishi,EXCEED A/T,Xpander,2018,30.000-35.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,233000000
Honda,E,Freed,2010,85.000-90.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,148000000
Toyota,Krista,Kijang,1999,225.000-230.000 km,Bensin,Biru,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,74000000
Honda,E,Freed,2009,135.000-140.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,120000000
Toyota,E,Agya,2016,75.000-80.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,81500000
Toyota,G Luxury,Fortuner,2011,160.000-165.000 km,Bensin,Hitam,Automatic,?,Sports & Super Car,>2.000 - 3.000 cc,175000000
Daihatsu,M,Luxio,2013,100.000-105.000 km,Bensin,Silver,Manual,?,?,?,103000000
Mitsubishi,Pick Up,L300,1991,45.000-50.000 km,Diesel,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>2.000 - 3.000 cc,35000000
Honda,2.2,Accord,1994,250.000-255.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Sedan,>2.000 - 3.000 cc,43000000
Honda,Satya E,Brio,2019,0-5.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,162000000
Toyota,G,Avanza,2010,65.000-70.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,114000000
Mitsubishi,Dakar 2.4,Pajero Sport,2017,5.000-10.000 km,Diesel,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,460000000
Toyota,"2,5 G",Camry,2016,60.000-65.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,277000000
Honda,RS,Jazz,2011,75.000-80.000 km,Bensin,Biru,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.500 - 2.000 cc,159000000
Daihatsu,1.2 X,Sigra,2017,95.000-100.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,110000000
Daihatsu,X,Ayla,2015,40.000-45.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,95000000
Suzuki,Cross Over,SX4,2009,90.000-95.000 km,Bensin,Hitam,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,100000000
Honda,2.4 i-VTEC,CR-V,2010,80.000-85.000 km,Bensin,Coklat,Automatic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,145000000
Daihatsu,Lain-lain,Ayla,2018,15.000-20.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,125000000
Honda,RS,Brio,2017,30.000-35.000 km,Bensin,Merah,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,140000000
Toyota,E,Innova,2011,100.000-105.000 km,Bensin,Lainnya,Manual,?,?,?,121000000
Suzuki,GL,Ertiga,2013,70.000-75.000 km,Bensin,Putih,Manual,?,?,?,130000000
Toyota,LGX,Kijang,1998,155.000-160.000 km,Bensin,Hijau,Manual,?,?,?,62000000
Mitsubishi,Exceed,Pajero Sport,2010,145.000-150.000 km,Bensin,Abu-abu,Automatic,?,?,?,205000000
Ford,Trend,Fiesta,2013,65.000-70.000 km,Bensin,Biru,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,105000000
Nissan,Lain-lain,X-Trail,2009,150.000-155.000 km,Bensin,Silver,Automatic,4X2,SUV,>1.500 - 2.000 cc,115000123
Toyota,G,Avanza,2014,145.000-150.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,133000000
Mitsubishi,Lain-lain,Xpander,2019,0-5.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,225000000
Daihatsu,1.2 R,Sigra,2016,40.000-45.000 km,Bensin,Putih,Manual,4X2,MPV,>1.000 - 1.500 cc,125000000
Toyota,TRD Sportivo,Agya,2014,25.000-30.000 km,Bensin,Merah,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,89000000
Toyota,S,Rush,2017,15.000-20.000 km,Bensin,Abu-abu,Automatic,?,?,?,176000000
Toyota,G,Avanza,2013,55.000-60.000 km,Bensin,Hitam,Manual,?,?,?,133000000
Mitsubishi,Dakar 2.4,Pajero Sport,2012,90.000-95.000 km,Diesel,Hitam,Automatic Triptonic,4X2,SUV,>2.000 - 3.000 cc,260000000
Honda,?,Ferio,1997,100.000-105.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,69000000
Suzuki,Cross Over,SX4,2009,150.000-155.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,92000000
KIA,SE,Picanto,2008,20.000-25.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,71000000
Honda,?,Civic,2016,35.000-40.000 km,Bensin,Abu-abu,Automatic,?,?,?,345000000
Daihatsu,X,Ayla,2015,15.000-20.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,88000000
Suzuki,Lain-lain,Splash,2013,60.000-65.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,77500000
Toyota,G Luxury,Fortuner,2009,100.000-105.000 km,Bensin,Hitam,Automatic,4X2,?,>2.000 - 3.000 cc,167000000
Toyota,V,Sienta,2018,20.000-25.000 km,Bensin,Coklat,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,177000000
Honda,S,HR-V,2017,20.000-25.000 km,Bensin,Hitam,Automatic,?,?,?,218000000
