Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Honda,2.4 i-VTEC,CR-V,2010,90.000-95.000 km,Bensin,Silver,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,162000000
Toyota,Lain-lain,Vios,2013,260.000-265.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,85000000
Toyota,G,Avanza,2011,105.000-110.000 km,Bensin,Hitam,Manual,?,Minibus,>1.000 - 1.500 cc,95500000
Toyota,Lain-lain,Starlet,1989,30.000-35.000 km,Bensin,Putih,Manual,4X2,Sedan,>1.000 - 1.500 cc,42000000
Toyota,1.5,Kijang,1991,50.000-55.000 km,Bensin,Abu-abu,Manual,4X2,Minibus,>1.000 - 1.500 cc,31000000
Proton,BLM,Saga,2009,80.000-85.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,42000000
Toyota,G,Rush,2018,30.000-35.000 km,Bensin,Putih,Automatic,4X2,Minibus,>1.500 - 2.000 cc,230000000
Toyota,G,Avanza,2008,80.000-85.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,87000000
Hyundai,SG,i20,2011,65.000-70.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,89000000
Mazda,2.0 SKYACTIV,Biante,2014,25.000-30.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,235000000
Daihatsu,?,Terios,2019,0-5.000 km,Bensin,Lainnya,Manual,?,?,?,202300000
Mitsubishi,Dakar,Pajero Sport,2016,30.000-35.000 km,Diesel,Hitam,Automatic Triptonic,?,?,?,402000000
Datsun,?,Go,2019,0-5.000 km,Bensin,Lainnya,Manual,?,?,?,115000000
Daihatsu,R 1.3 Sporty,Xenia,2017,40.000-45.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,170000000
Suzuki,FD,Carry,2018,20.000-25.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Pick-up,>1.500 - 2.000 cc,88000000
Toyota,G,Agya,2015,20.000-25.000 km,Bensin,Putih,Automatic,Rear Wheel Drive (RWD),Compact & City Car,>1.000 - 1.500 cc,101000000
Suzuki,Blind Van High,APV,2012,140.000-145.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Van,>1.500 - 2.000 cc,68000000
