Daihatsu,X Elegant,Ayla,2015,105.000-110.000 km,Bensin,Merah,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,85000000
Toyota,Corolla,Lain-lain,<1986,45.000-50.000 km,Bensin,Ungu,Manual,4X2,Sedan,<1.000 cc,Individu,16500000
Hyundai,1.5,Accent,2000,70.000-75.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,Individu,33000000
Honda,VTEC,Jazz,2006,100.000-105.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Individu,93000000
Honda,City,i-DSI,2003,185.000-190.000 km,Bensin,Merah,Automatic Triptonic,4X2,Sedan,>1.000 - 1.500 cc,Individu,47500000
Mercedes-Benz,E-Class,E300,1990,195.000-200.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Sedan,>3.000 cc,Individu,100000000
Suzuki,GL,Splash,2014,55.000-60.000 km,Bensin,Putih,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,Diler,Bursa Mobil DTC,113000000
Suzuki,Lain-lain,Karimun estillo,2011,40.000-45.000 km,Bensin,Silver,Manual,4X2,Wagon,>1.000 - 1.500 cc,Diler,Pasar Mobil Kemayoran,56500000
Toyota,Sienta,V,2016,40.000-45.000 km,Bensin,Putih,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,Individu,149000000
Toyota,Lain-lain,Innova,2008,80.000-85.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,112000000
Suzuki,Ertiga,GL,2017,0-5.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,Diler,140000000
Nissan,X-Trail,Lain-lain,2005,170.000-175.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,Individu,75000000
Honda,Brio,2019,0-5.000 km,Bensin,Lainnya,Manual,147000000
Honda,VTi-L,Accord,2006,155.000-160.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,Individu,95000000
Honda,E,Mobilio,2014,50.000-55.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.500 - 2.000 cc,Individu,123950000
Mazda,Lain-lain,Lain-lain,1988,295.000-300.000 km,Bensin,Kuning,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,Individu,Bursa Mobil Blok M Plaza,19750000
Toyota,Corona,2.0,<1986,50.000-55.000 km,Bensin,Hijau,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,Individu,18000000
Toyota,Soluna,Gli,2002,115.000-120.000 km,Bensin,Silver,Automatic,4X2,SUV,>2.000 - 3.000 cc,Individu,39999999
Toyota,Lain-lain,Kijang,1989,>300.000 km,Bensin,Lainnya,Manual,SUV,>1.000 - 1.500 cc,Individu,33000000
Honda,E,Brio,2017,25.000-30.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Diler,128000000
Daihatsu,Lain-lain,Gran max,2015,60.000-65.000 km,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,Individu,88600000
Honda,VTEC,City,2006,120.000-125.000 km,Bensin,Abu-abu,Manual,4X2,Sedan,>1.000 - 1.500 cc,74990000
Suzuki,Ignis,GX MT ,2019,20.000-25.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Individu,26000000
Daihatsu,Adventure R,Terios,2018,35.000-40.000 km,Bensin,Coklat,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Diler,220000000
Toyota,Corolla,2.0,2004,100.000-105.000 km,Bensin,Hitam,Manual,4X2,Hatchback,>1.000 - 1.500 cc,Individu,78990000
Toyota,TRD Sportivo,Yaris,2018,10.000-15.000 km,Bensin,Kuning,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,220000000
Ford,Trend,Fiesta,2014,75.000-80.000 km,Bensin,Merah,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,Individu,119000000
Toyota,G,Avanza,2017,55.000-60.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,Diler,162000000
Suzuki,GX,Karimun,2006,145.000-150.000 km,Bensin,Coklat,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,Individu,58999999
Mazda,2.0 SKYACTIV,Biante,2014,40.000-45.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,Diler,Carsentro Solo,225000000
Toyota,G Luxury,Fortuner,2015,30.000-35.000 km,Bensin,Hitam,Automatic,4X2,SUV,>2.000 - 3.000 cc,Individu,275000000
Smart,1.0 Passion Coupe,Fortwo,2011,35.000-40.000 km,Bensin,Putih,Automatic Triptonic,Rear Wheel Drive (RWD),Compact & City Car,<1.000 cc,Individu,175000000
Chrysler,Grand Cherokee,Limited,2012,45.000-50.000 km,Bensin,Abu-abu,Automatic Triptonic,4X4,SUV,>3.000 cc,Individu,470000000
Isuzu,2.5,Panther,2000,180.000-185.000 km,Diesel,Abu-abu,Manual,4X2,SUV,>2.000 - 3.000 cc,Individu,58500000
Daihatsu,Sirion,Lain-lain,2015,5.000-10.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.000 - 1.500 cc,Diler,120000000
Toyota,G,Agya,2014,40.000-45.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Compact & City Car,>1.000 - 1.500 cc,Diler,88000000
Honda,E,Mobilio,2015,55.000-60.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Diler,148000000
Toyota,G,Innova,2016,55.000-60.000 km,Diesel,Abu-abu,Manual,Front Wheel Drive (FWD),Minibus,>2.000 - 3.000 cc,Individu,275000000
Daihatsu,Lain-lain,Espass,2002,105.000-110.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,Individu,35000000
Honda,Brio,E,2014,5.000-10.000 km,Bensin,Putih,Automatic,4X2,MPV,Diler,120000000
Toyota,S,Rush,2010,95.000-100.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Jeep,>1.000 - 1.500 cc,Diler,128000000
Suzuki,Splash,GL,2010,80.000-85.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,68000000
Honda,i-DSI,City,2008,10.000-15.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,Individu,82000000
Toyota,G,Agya,2014,75.000-80.000 km,Bensin,Silver,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,Individu,82500000
Mercedes-Benz,E200K,E-Class,2007,180.000-185.000 km,Bensin,Silver,Automatic Triptonic,4X2,Sedan,>1.500 - 2.000 cc,Individu,135000000
Daihatsu,X,Xenia,2015,60.000-65.000 km,Bensin,Marun,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,Diler,125000000
Suzuki,Baleno next-G,Lain-lain,2004,75.000-80.000 km,Bensin,Silver,Manual,4X2,Sedan,>1.000 - 1.500 cc,Individu,35000000
Toyota,S,Yaris,2008,125.000-130.000 km,Bensin,Abu-abu,Automatic,>1.000 - 1.500 cc,Individu,96000000
Hyundai,Grand Avega,GL Airbag,2014,65.000-70.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,Individu,100000000
Datsun,Go+,Panca T Opt,2017,20.000-25.000 km,Bensin,Hitam,Manual,4X2,Hatchback,>1.000 - 1.500 cc,Individu,88500000
Wuling,1.8,Cortez,2018,15.000-20.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,Individu,205000000
Toyota,Luxury Veloz,Avanza,2015,80.000-85.000 km,Bensin,Merah,Manual,4X2,Minibus,>1.000 - 1.500 cc,Diler,153000000
Toyota,Lain-lain,Innova,2016,20.000-25.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.500 - 2.000 cc,Diler,Bursa Mobil DTC,300000000
Daihatsu,Ayla,X,2015,45.000-50.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Minibus,<1.000 cc,Individu,109000000
Honda,RS,Jazz,2016,55.000-60.000 km,Bensin,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,205000000
Nissan,Lain-lain,Livina,2012,85.000-90.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Diler,108000000
Toyota,Vios,G,2007,145.000-150.000 km,Bensin,Kuning,Manual,4X2,Sedan,>1.000 - 1.500 cc,Individu,47500000
Chevrolet,Lain-lain,Lain-lain,2013,100.000-105.000 km,Bensin,Hitam,Manual,4X2,>1.000 - 1.500 cc,Bursa Mobil Bintaro,94000000
Honda,CR-V,2.0 i-VTEC,2013,145.000-150.000 km,Bensin,Silver,Automatic,4X2,SUV,>1.500 - 2.000 cc,Individu,195000000
Honda,Civic,1.3,<1986,>300.000 km,Bensin,Biru,Manual,Sedan,>1.000 - 1.500 cc,Individu,16000000
Daihatsu,X 1.3 STD,Xenia,2015,60.000-65.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,Diler,130000000
Toyota,Avanza,G Basic,2009,105.000-110.000 km,Bensin,Hijau,Manual,>1.000 - 1.500 cc,Individu,90000000
Isuzu,D-Max,Lain-lain,2010,145.000-150.000 km,Diesel,Putih,Manual,Double Cabin,>2.000 - 3.000 cc,Individu,105000000
Honda,Vti,Accord,2005,115.000-120.000 km,Bensin,Lainnya,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,Individu,45000000
Honda,Mobilio,E,2016,5.000-10.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.000 - 1.500 cc,Diler,150000000
Toyota,TRD Sportivo,Agya,2019,0-5.000 km,Bensin,Silver,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,Individu,160000000
Nissan,Lain-lain,Grand livina,2011,100.000-105.000 km,Bensin,Silver,Manual,Individu,98000000
Toyota,TRD Sportivo,Yaris,2018,0-5.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,205000000
